geneid	taxid	symbol	Full_name_from_nomenclature_authority
31767	7227	nAChRalpha3	nicotinic Acetylcholine Receptor alpha3
31770	7227	CG1387	-
31771	7227	CG10555	-
31772	7227	CG11190	-
31773	7227	Trf2	TATA box binding protein-related factor 2
31775	7227	CG12125	-
31776	7227	CG1440	-
31777	7227	CG12123	-
31778	7227	org-1	optomotor-blind-related-gene-1
31779	7227	CG15347	-
31780	7227	Es2	-
31781	7227	Sptr	Sepiapterin reductase
31782	7227	CG12116	-
31785	7227	Cp7Fb	Chorion protein b at 7F
31786	7227	Cp7Fc	Chorion protein c at 7F
31787	7227	Cp36	Chorion protein 36
31788	7227	Cp38	Chorion protein 38
31789	7227	otu	ovarian tumor
31791	7227	PIP82	-
31792	7227	Nrg	Neuroglian
31793	7227	IntS4	Integrator 4
31794	7227	CG12112	-
31795	7227	Trf4-1	-
31796	7227	CG12111	-
31797	7227	spirit	Serine Protease Immune Response Integrator
31798	7227	CG12065	-
31799	7227	CG12081	-
31800	7227	Crag	Calmodulin-binding protein related to a Rab3 GDP/GTP exchange protein
31801	7227	Caf1-180	Chromatin assembly factor 1, p180 subunit
31802	7227	oc	ocelliless
31803	7227	CG12772	-
31804	7227	CG11284	-
31805	7227	Ppt1	Palmitoyl-protein thioesterase 1
31806	7227	Ogg1	8-oxoguanine DNA glycosylase
31807	7227	CG11294	-
31808	7227	Hexo2	Hexosaminidase 2
31809	7227	CG2004	-
31810	7227	CG1785	-
31811	7227	l(1)G0020	lethal (1) G0020
31812	7227	CG1789	-
31813	7227	Lim1	-
31815	7227	CG12075	-
31816	7227	Moe	Moesin
31817	7227	CG1885	-
31818	7227	Rbm13	RNA-binding motif protein 13
31822	7227	CG12661	-
31824	7227	CG10962	-
31825	7227	CG12662	-
31826	7227	rdgA	retinal degeneration A
31829	7227	CG15365	-
31830	7227	CG10970	-
31831	7227	CG44325	-
31833	7227	CG7246	-
31834	7227	HP1b	Heterochromatin Protein 1b
31835	7227	APC4	Anaphase Promoting Complex subunit 4
31837	7227	CG6999	-
31838	7227	CG7033	-
31839	7227	CG7766	-
31840	7227	Bx42	-
31841	7227	Arfrp1	ADP-ribosylation factor related protein 1
31842	7227	AP-1gamma	Adaptor Protein complex 1, gamma subunit
31843	7227	fend	forked end
31844	7227	CG7065	-
31845	7227	fh	frataxin homolog
31846	7227	Bap111	Brahma associated protein 111kD
31848	7227	His3.3B	Histone H3.3B
31849	7227	Ost48	Oligosaccharyltransferase 48kD subunit
31851	7227	Zpr1	-
31853	7227	CG12115	-
31854	7227	CG12057	-
31855	7227	CG12056	-
31856	7227	CG12106	-
31857	7227	CG12118	-
31858	7227	su(r)	suppressor of rudimentary
31859	7227	CG12119	-
31860	7227	Obp8a	Odorant-binding protein 8a
31861	7227	CG15368	-
31862	7227	CG15369	-
31863	7227	t	tan
31864	7227	CG15370	-
31865	7227	Gr8a	Gustatory receptor 8a
31866	7227	CG12121	-
31867	7227	Ir8a	Ionotropic receptor 8a
31869	7227	mxc	multi sex combs
31872	7227	Dsor1	Downstream of raf1
31873	7227	CG17754	-
31874	7227	ric8a	-
31877	7227	Erk7	Extracellularly regulated kinase 7
31879	7227	CG17440	-
31880	7227	Cfp1	CXXC finger protein 1
31881	7227	CG16892	-
31883	7227	lz	lozenge
31887	7227	CG34449	-
31890	7227	BCL7-like	-
31896	7227	CG32700	-
31897	7227	RpS28b	Ribosomal protein S28b
31898	7227	CG15317	-
31899	7227	LPCAT	Lysophosphatidylcholine acyltransferase
31902	7227	Gga	Golgi-localized, gamma-adaptin ear containing, ARF binding protein
31903	7227	Lst8	-
31904	7227	Aats-lys	Lysyl-tRNA synthetase
31905	7227	CG42797	-
31907	7227	Ptpmeg2	Protein tyrosine phosphatase Meg2
31909	7227	CG3106	-
31912	7227	btd	buttonhead
31913	7227	Sp1	-
31914	7227	CG1354	-
31915	7227	CG32698	-
31917	7227	Ser7	-
31918	7227	CG32695	-
31919	7227	CG15247	-
31920	7227	CG1468	-
31921	7227	CG9686	-
31922	7227	CG9689	-
31923	7227	CG9691	-
31924	7227	CG15249	-
31925	7227	CG1986	-
31926	7227	Idgf4	Imaginal disc growth factor 4
31927	7227	CG1791	-
31928	7227	CG1889	-
31929	7227	CG43386	-
31931	7227	CG15252	-
31933	7227	CG32694	-
31934	7227	CG2990	-
31935	7227	Cht6	-
31938	7227	Yp2	Yolk protein 2
31939	7227	Yp1	Yolk protein 1
31940	7227	CG15312	-
31942	7227	ZAP3	-
31943	7227	CG2972	-
31944	7227	CG2974	-
31945	7227	RhoU	-
31947	7227	CG12645	-
31948	7227	CG43902	-
31949	7227	CG15309	-
31950	7227	ATPsyndelta	ATP synthase, delta subunit
31952	7227	CG2962	-
31953	7227	CG34408	-
31954	7227	Ipod	Interaction partner of Dnmt2
31955	7227	Hk	Hyperkinetic
31957	7227	alpha-Man-Ia	alpha-Mannosidase class I a
31958	7227	CG2909	-
31960	7227	Gip	GIP-like
31961	7227	CG15306	-
31962	7227	CG43740	-
31964	7227	l(1)G0289	lethal (1) G0289
31965	7227	CG17841	-
31966	7227	CG2898	-
31967	7227	Psf3	-
31970	7227	CG32683	-
31971	7227	RabX2	-
31973	7227	CG12640	-
31975	7227	Or9a	Odorant receptor 9a
31976	7227	nocte	no circadian temperature entrainment
31977	7227	CG2889	-
31978	7227	CG2887	-
31979	7227	PPP4R2r	Protein phosphatase 4 regulatory subunit 2-related protein
31980	7227	CG32687	-
31986	7227	CG15296	-
31987	7227	spri	sprint
31988	7227	Hmr	Hybrid male rescue
31989	7227	CG2124	-
31990	7227	CG1628	-
31991	7227	CG43347	-
31993	7227	Rab9Db	Rab at 9Db
31994	7227	CG9806	-
31995	7227	CG2111	-
31996	7227	CG12637	-
31997	7227	X11Lbeta	-
32000	7227	BTBD9	BTB (POZ) domain containing 9 ortholog
32001	7227	Atg8a	Autophagy-related 8a
32002	7227	Rph	Rabphilin
32005	7227	CG32676	-
32006	7227	CG15211	-
32007	7227	sesB	stress-sensitive B
32008	7227	Ant2	Adenine nucleotide translocase 2
32009	7227	Imp	IGF-II mRNA-binding protein
32011	7227	CG15209	-
32013	7227	CG17333	-
32014	7227	CG2202	-
32015	7227	feo	fascetto
32016	7227	sofe	sister of feo
32017	7227	CG2186	-
32018	7227	CG2157	-
32019	7227	CG1637	-
32020	7227	Ork1	Open rectifier K[+] channel 1
32021	7227	CG1582	-
32022	7227	CG15208	-
