geneid	taxid	debref	symbol	Full_name_from_nomenclature_authority
31198	7227	FBgn0023549	Mct1	Monocarboxylate transporter 1
31200	7227	FBgn0053548	msta	-
31201	7227	FBgn0004397	Vinc	Vinculin
31203	7227	FBgn0029606	CG14052	-
31204	7227	FBgn0003048	pcx	pecanex
31205	7227	FBgn0001330	kz	kurz
31207	7227	FBgn0023523	Or2a	Odorant receptor 2a
31208	7227	FBgn0000377	crn	crooked neck
31209	7227	FBgn0023525	CG3191	-
31210	7227	FBgn0029608	CG3091	-
31211	7227	FBgn0023524	CG3078	-
31212	7227	FBgn0027296	temp	tempura
31213	7227	FBgn0023527	CG3071	-
31214	7227	FBgn0023528	CG2924	-
31215	7227	FBgn0023529	CG2918	-
31217	7227	FBgn0023526	CG2865	-
31218	7227	FBgn0040392	CG14050	-
31219	7227	FBgn0040391	CG2854	-
31220	7227	FBgn0044047	Ilp6	Insulin-like peptide 6
31221	7227	FBgn0003079	Raf	Raf oncogene
31222	7227	FBgn0040389	mRpL14	mitochondrial ribosomal protein L14
31224	7227	FBgn0264598	PsGEF	Protostome-specific GEF
31226	7227	FBgn0040385	CG12496	-
31227	7227	FBgn0001150	gt	giant
31228	7227	FBgn0003714	tko	technical knockout
31229	7227	FBgn0040388	boi	brother of ihog
31230	7227	FBgn0004050	z	zeste
31234	7227	FBgn0260753	Pdfr	Pigment-dispersing factor receptor
31235	7227	FBgn0040377	Vha36-3	Vacuolar H[+] ATPase 36kD subunit 3
31236	7227	FBgn0040376	CG13759	-
31237	7227	FBgn0040375	CG13760	-
31239	7227	FBgn0001404	egh	egghead
31240	7227	FBgn0011606	Klp3A	Kinesin-like protein at 3A
31243	7227	FBgn0029629	eIF3ga	eIF3g paralogue a
31244	7227	FBgn0040334	Tsp3A	Tetraspanin 3A
31245	7227	FBgn0040336	Seipin	-
31246	7227	FBgn0040333	brv3	brivido-3
31247	7227	FBgn0267350	PI4KIIIalpha	Phosphatidylinositol 4-kinase III alpha
31248	7227	FBgn0003371	sgg	shaggy
31249	7227	FBgn0011276	HLH3B	Helix loop helix protein 3B
31250	7227	FBgn0025838	CG2652	-
31251	7227	FBgn0003068	per	period
31252	7227	FBgn0000092	CG2650	-
31253	7227	FBgn0024992	CG2658	-
31254	7227	FBgn0024993	CG2662	-
31255	7227	FBgn0024994	Csat	-
31256	7227	FBgn0024996	eIF2B-beta	-
31257	7227	FBgn0024995	CG2680	-
31258	7227	FBgn0024997	CG2681	-
31259	7227	FBgn0024998	CG2685	-
31260	7227	FBgn0024991	CG2694	-
31261	7227	FBgn0024973	CG2701	-
31262	7227	FBgn0000928	fs(1)Yb	female sterile (1) Yb
31263	7227	FBgn0000927	fs(1)Ya	female sterile (1) Young arrest
31264	7227	FBgn0024977	CG2709	-
31265	7227	FBgn0000520	dwg	deformed wings
31266	7227	FBgn0250874	ttm50	tiny tim 50
31267	7227	FBgn0024975	CG2712	-
31268	7227	FBgn0000376	crm	cramped
31269	7227	FBgn0024980	Syx4	Syntaxin 4
31270	7227	FBgn0040384	CG32795	-
31271	7227	FBgn0003996	w	white
31272	7227	FBgn0040356	CG12498	-
31273	7227	FBgn0040352	CG14416	-
31274	7227	FBgn0040353	CG14417	-
31275	7227	FBgn0040354	CG14418	-
31276	7227	FBgn0029639	CG14419	-
31277	7227	FBgn0040355	CG3526	-
31278	7227	FBgn0025643	CG3588	-
31279	7227	FBgn0025644	CG14424	-
31280	7227	FBgn0052793	CG32793	-
31282	7227	FBgn0029642	CG3592	-
31283	7227	FBgn0025645	CG3598	-
31284	7227	FBgn0029643	CG14420	-
31285	7227	FBgn0029644	CG14421	-
31286	7227	FBgn0029645	CG14422	-
31287	7227	FBgn0029646	CG14423	-
31288	7227	FBgn0029647	CG17959	-
31289	7227	FBgn0029648	CG3603	-
31290	7227	FBgn0003285	rst	roughest
31291	7227	FBgn0029649	CG4116	-
31292	7227	FBgn0028369	kirre	kin of irre
31293	7227	FBgn0004647	N	Notch
31294	7227	FBgn0000644	Fcp3C	Follicle cell protein 3C
31295	7227	FBgn0040396	CG3939	-
31297	7227	FBgn0040393	CG14265	-
31298	7227	FBgn0010294	ng2	new glue 2
31299	7227	FBgn0010295	ng3	new glue 3
31300	7227	FBgn0002933	ng1	new glue 1
31301	7227	FBgn0010296	ng4	new glue 4
31303	7227	FBgn0003086	Pig1	Pre-intermoult gene 1
31304	7227	FBgn0003374	Sgs4	Salivary gland secretion 4
31308	7227	FBgn0029656	CG10793	-
31309	7227	FBgn0000479	dnc	dunce
31310	7227	FBgn0262656	Myc	-
31311	7227	FBgn0029657	CG12535	-
31312	7227	FBgn0029658	CG14269	-
31313	7227	FBgn0029659	CG16782	-
31314	7227	FBgn0029660	CG10801	-
31315	7227	FBgn0029661	CG16781	-
31316	7227	FBgn0029662	CG12206	-
31317	7227	FBgn0029663	CG10804	-
31318	7227	FBgn0029664	CG10802	-
31319	7227	FBgn0029665	CG14270	-
31320	7227	FBgn0029666	CG10803	-
31321	7227	FBgn0029667	Gas8	Growth arrest specific protein 8
31322	7227	FBgn0052791	DIP-alpha	Dpr-interacting protein alpha
31323	7227	FBgn0029669	CG13021	-
31326	7227	FBgn0029672	CG2875	-
31328	7227	FBgn0044046	Ilp7	Insulin-like peptide 7
31329	7227	FBgn0023216	Parg	Poly(ADP-ribose) glycohydrolase
31331	7227	FBgn0023215	Mnt	-
31332	7227	FBgn0015286	Rala	Ras-like protein A
31335	7227	FBgn0029676	HIP-R	Hsc/Hsp70-interacting protein related
31336	7227	FBgn0264954	fd3F	forkhead domain 3F
31338	7227	FBgn0029679	CG2901	-
31339	7227	FBgn0000542	ec	echinus
31340	7227	FBgn0265575	yin	-
31341	7227	FBgn0028491	CG2930	-
31342	7227	FBgn0028665	VhaAC39-1	Vacuolar H[+] ATPase AC39 subunit 1
31343	7227	FBgn0029681	CG15239	-
31344	7227	FBgn0260658	CG42541	-
31347	7227	FBgn0029685	CG2938	-
31348	7227	FBgn0029686	CG2941	-
31349	7227	FBgn0029687	Vap-33A	VAMP-associated protein of 33kDa ortholog A
31350	7227	FBgn0029688	lva	lava lamp
31351	7227	FBgn0029689	CG6428	-
31352	7227	FBgn0029690	CG6414	-
31353	7227	FBgn0263772	CG43689	-
31355	7227	FBgn0029693	CG6379	-
31356	7227	FBgn0029694	CG15375	-
31357	7227	FBgn0004832	Xpac	Xeroderma pigmentosum group A-like
31358	7227	FBgn0000221	brn	brainiac
31359	7227	FBgn0026084	cib	ciboulot
31361	7227	FBgn0026085	dgt4	dim gamma-tubulin 4
31362	7227	FBgn0026080	Tip60	Tat interactive protein 60kDa
31363	7227	FBgn0026083	tyf	twenty-four
31364	7227	FBgn0000635	Fas2	Fasciclin 2
31365	7227	FBgn0029696	CG15571	-
31366	7227	FBgn0029697	CG15570	-
31367	7227	FBgn0041252	Femcoat	-
31368	7227	FBgn0052774	Muc4B	Mucin 4B
31369	7227	FBgn0029700	CG15576	-
31370	7227	FBgn0029701	CG12691	-
31371	7227	FBgn0029702	CG15572	-
31372	7227	FBgn0029703	CG12692	-
31373	7227	FBgn0002707	mei-9	meiotic 9
31374	7227	FBgn0266570	CG2982	-
31375	7227	FBgn0029705	CG12693	-
31376	7227	FBgn0262738	norpA	no receptor potential A
31377	7227	FBgn0029706	CG3626	-
31378	7227	FBgn0029707	CG12688	-
31379	7227	FBgn0000179	bi	bifid
31380	7227	FBgn0029708	CG3556	-
31381	7227	FBgn0003210	rb	ruby
31382	7227	FBgn0029709	CHOp24	-
31383	7227	FBgn0029710	CG3568	-
31384	7227	FBgn0029711	Usf	-
31385	7227	FBgn0029712	CG15912	-
31386	7227	FBgn0029713	CG11436	-
31387	7227	FBgn0029714	CG3527	-
31388	7227	FBgn0029715	CG11444	-
31389	7227	FBgn0029716	CG3546	-
31390	7227	FBgn0029717	CG12684	-
31391	7227	FBgn0003053	peb	pebbled
31392	7227	FBgn0025387	CG12184	-
31393	7227	FBgn0025388	CG12179	-
31394	7227	FBgn0025739	pon	partner of numb
31395	7227	FBgn0025613	CG3081	-
31396	7227	FBgn0025612	CG3062	-
31397	7227	FBgn0011277	HLH4C	Helix loop helix protein 4C
31398	7227	FBgn0029718	mRpL30	mitochondrial ribosomal protein L30
31399	7227	FBgn0025615	Torsin	-
31401	7227	FBgn0029719	CG15473	-
31402	7227	FBgn0029720	CG3009	-
31404	7227	FBgn0022768	Pp2C1	Protein phosphatase 2C
31405	7227	FBgn0011760	ctp	cut up
31406	7227	FBgn0028325	l(1)G0334	lethal (1) G0334
31407	7227	FBgn0029722	CG7024	-
31408	7227	FBgn0029723	Proc-R	Proctolin receptor
31409	7227	FBgn0029724	CG15472	-
31410	7227	FBgn0025679	Bteb2	-
31411	7227	FBgn0029725	CG2871	-
31412	7227	FBgn0029726	CG15471	-
31413	7227	FBgn0029727	CG6978	-
31414	7227	FBgn0029728	CG2861	-
31415	7227	FBgn0029729	CG12682	-
31416	7227	FBgn0029730	CG12681	-
31419	7227	FBgn0029733	CG6927	-
31420	7227	FBgn0052772	CG32772	-
31422	7227	FBgn0029736	CG4041	-
31423	7227	FBgn0029737	CG6903	-
31424	7227	FBgn0266000	CG44774	-
31425	7227	FBgn0004368	Ptp4E	Protein tyrosine phosphatase 4E
31426	7227	FBgn0061196	CG15468	-
31427	7227	FBgn0029740	CG12680	-
31429	7227	FBgn0003028	ovo	-
31430	7227	FBgn0052767	CG32767	-
31433	7227	FBgn0029745	Rpn13R	Regulatory particle non-ATPase 13-related
31434	7227	FBgn0029746	CG15465	-
31435	7227	FBgn0029747	CG5062	-
31438	7227	FBgn0261803	CG42749	-
31439	7227	FBgn0029750	CG3323	-
31440	7227	FBgn0029751	CG17764	-
31441	7227	FBgn0263237	Cdk7	Cyclin-dependent kinase 7
31442	7227	FBgn0003449	snf	sans fille
31443	7227	FBgn0029752	TrxT	Thioredoxin T
31444	7227	FBgn0011761	dhd	deadhead
31445	7227	FBgn0029753	CG4198	-
31446	7227	FBgn0029754	CG15930	-
31447	7227	FBgn0029755	Sas10	Something about silencing 10 ortholog (S. cerevisiae)
31448	7227	FBgn0014024	Rnp4F	RNA-binding protein 4F
31449	7227	FBgn0024332	Mcm3	Minichromosome maintenance 3
31450	7227	FBgn0029756	CG3309	-
31451	7227	FBgn0026751	XRCC1	-
31456	7227	FBgn0029761	SK	small conductance calcium-activated potassium channel
31457	7227	FBgn0029762	NAAT1	Nutrient Amino Acid Transporter 1
31458	7227	FBgn0029763	Usp16-45	Ubiquitin specific protease 16/45
31459	7227	FBgn0263987	spoon	spoonbill
31460	7227	FBgn0029765	CG16756	-
31461	7227	FBgn0029766	CG15784	-
31463	7227	FBgn0029768	SPR	Sex peptide receptor
31464	7227	FBgn0029769	frma	fra mauro
31465	7227	FBgn0029770	CG4151	-
31466	7227	FBgn0029771	CG12730	-
31469	7227	FBgn0263512	Vsx2	Visual system homeobox 2 ortholog
31470	7227	FBgn0263511	Vsx1	Visual system homeobox 1 ortholog
31471	7227	FBgn0085464	CG34435	-
31472	7227	FBgn0250904	CG34434	-
31473	7227	FBgn0029778	RhoGAP5A	Rho GTPase activating protein at 5A
31474	7227	FBgn0004687	Mlc-c	Myosin light chain cytoplasmic
31475	7227	FBgn0026702	l(1)G0045	lethal (1) G0045
31480	7227	FBgn0029783	Sirt4	Sirtuin 4
31481	7227	FBgn0028474	CG4119	-
31483	7227	FBgn0029785	RpL35	Ribosomal protein L35
31486	7227	FBgn0259926	CG42449	-
31487	7227	FBgn0029789	CG3160	-
31489	7227	FBgn0027564	CG3149	-
31490	7227	FBgn0029791	CG4096	-
31491	7227	FBgn0053080	CG33080	-
31493	7227	FBgn0052758	CG32758	-
31494	7227	FBgn0029795	CG15773	-
31496	7227	FBgn0261383	IntS6	Integrator 6
31497	7227	FBgn0029798	CG4078	-
31498	7227	FBgn0029799	CG15772	-
31499	7227	FBgn0029800	lin-52	-
31500	7227	FBgn0029801	CG15771	-
31503	7227	FBgn0029804	CG3097	-
31504	7227	FBgn0259149	CG42264	-
31506	7227	FBgn0029807	CG3108	-
31507	7227	FBgn0261610	CG42699	-
31508	7227	FBgn0029809	CG15767	-
31509	7227	FBgn0029810	CG12239	-
31510	7227	FBgn0029811	Cpr5C	Cuticular protein 5C
31511	7227	FBgn0029812	Prosbeta2R1	Proteasome beta2 subunit-related 1
31512	7227	FBgn0029813	CG15766	-
31513	7227	FBgn0029814	CG15765	-
31515	7227	FBgn0029816	CG12729	-
31516	7227	FBgn0029817	CG15764	-
31517	7227	FBgn0029818	GAA1	Glycosylphosphatidylinositol anchor attachment 1 ortholog (H. sapiens)
31518	7227	FBgn0014340	mof	males absent on the first
31519	7227	FBgn0029819	Usp30	Ubiquitin specific protease 30
31520	7227	FBgn0029820	CG16721	-
31521	7227	FBgn0000042	Act5C	Actin 5C
31522	7227	FBgn0029821	CG4020	-
31523	7227	FBgn0029822	CG12236	-
31524	7227	FBgn0029823	CG3011	-
31525	7227	FBgn0029824	CG3726	-
31526	7227	FBgn0029825	CG12728	-
31527	7227	FBgn0029826	CG6041	-
31528	7227	FBgn0029827	CG6048	-
31529	7227	FBgn0029828	CG6067	-
31532	7227	FBgn0029831	CG5966	-
31533	7227	FBgn0027546	CG4766	-
31535	7227	FBgn0003302	rux	roughex
31536	7227	FBgn0029833	MCTS1	Malignant T cell amplified sequence 1
31537	7227	FBgn0029834	CG5937	-
31538	7227	FBgn0029835	CG5921	-
31539	7227	FBgn0029836	CG5928	-
31540	7227	FBgn0029837	Tsp5D	Tetraspanin 5D
31541	7227	FBgn0029838	CG4666	-
31542	7227	FBgn0029839	CG4660	-
31543	7227	FBgn0029840	raptor	-
31544	7227	FBgn0026060	Mipp2	Multiple inositol polyphosphate phosphatase 2
31547	7227	FBgn0029843	Nep1	Neprilysin 1
31550	7227	FBgn0264386	Ca-alpha1T	Ca[2+]-channel protein alpha[[1]] subunit T
31551	7227	FBgn0040069	vanin-like	-
31552	7227	FBgn0029848	Btnd	Biotinidase
31553	7227	FBgn0029849	Efr	ER GDP-fucose transporter
31554	7227	FBgn0003514	sqh	spaghetti squash
31555	7227	FBgn0262730	CG14446	-
31556	7227	FBgn0029851	CG14445	-
31557	7227	FBgn0023458	Rbcn-3A	Rabconnectin-3A
31558	7227	FBgn0015818	Spx	Spliceosomal protein on the X
31560	7227	FBgn0029853	CG3781	-
31562	7227	FBgn0029854	CG3566	-
31564	7227	FBgn0029856	CG11700	-
31565	7227	FBgn0026015	Top3beta	Topoisomerase 3beta
31566	7227	FBgn0029857	wuho	-
31567	7227	FBgn0028685	Rpt4	Regulatory particle triple-A ATPase 4
31568	7227	FBgn0029858	CG15896	-
31571	7227	FBgn0029861	CG3815	-
31572	7227	FBgn0043796	CG12219	-
31573	7227	FBgn0029863	CG3823	-
31574	7227	FBgn0029864	CG15894	-
31576	7227	FBgn0029866	CG3842	-
31577	7227	FBgn0029867	CG3847	-
31578	7227	FBgn0029868	ND-B16.6	NADH dehydrogenase (ubiquinone) B16.6 subunit
31579	7227	FBgn0261955	kdn	knockdown
31580	7227	FBgn0003655	swa	swallow
31581	7227	FBgn0029870	Marf	Mitochondrial assembly regulatory factor
31582	7227	FBgn0003139	PpV	Protein phosphatase V
31585	7227	FBgn0029873	CG3918	-
31586	7227	FBgn0029874	CG3342	-
31587	7227	FBgn0014031	Spat	Serine pyruvate aminotransferase
31588	7227	FBgn0014026	RpL7A	Ribosomal protein L7A
31589	7227	FBgn0000524	dx	deltex
31591	7227	FBgn0085446	CG34417	-
31592	7227	FBgn0029877	CG17717	-
31593	7227	FBgn0029878	Pat1	Protein interacting with APP tail-1
31594	7227	FBgn0029879	APC7	Anaphase Promoting Complex subunit 7
31595	7227	FBgn0029880	CG14443	-
31596	7227	FBgn0029881	pigs	pickled eggs
31597	7227	FBgn0029882	CG3226	-
31598	7227	FBgn0028360	Cdc7	Cdc7 kinase
31600	7227	FBgn0029885	CG3224	-
31601	7227	FBgn0062413	Ctr1A	Copper transporter 1A
31602	7227	FBgn0029887	CG3198	-
31603	7227	FBgn0025815	Mcm6	Minichromosome maintenance 6
31604	7227	FBgn0029888	ND-ASHI	NADH dehydrogenase (ubiquinone) ASHI subunit
31605	7227	FBgn0028336	l(1)G0255	lethal (1) G0255
31606	7227	FBgn0029890	CG4095	-
31607	7227	FBgn0029891	Pink1	PTEN-induced putative kinase 1
31608	7227	FBgn0029892	CG3184	-
31609	7227	FBgn0029893	CG14442	-
31610	7227	FBgn0029894	CG14440	-
31611	7227	FBgn0029895	CG14441	-
31612	7227	FBgn0029896	CG3168	-
31613	7227	FBgn0029897	RpL17	Ribosomal protein L17
31614	7227	FBgn0029898	CG14439	-
31615	7227	FBgn0029899	CG14438	-
31617	7227	FBgn0003390	shf	shifted
31618	7227	FBgn0259228	C3G	C3G ortholog (H. sapiens)
31620	7227	FBgn0029903	pod1	-
31621	7227	FBgn0086693	iav	inactive
31622	7227	FBgn0029905	Nf-YC	Nuclear factor Y-box C
31623	7227	FBgn0029906	xit	xiantuan
31624	7227	FBgn0029907	Atx-1	Ataxin 1
31625	7227	FBgn0263968	nonC	no-on-and-no-off transient C
31626	7227	FBgn0029909	CG12796	-
31628	7227	FBgn0029911	CG14435	-
31629	7227	FBgn0029912	CG4557	-
31630	7227	FBgn0029913	Cht11	-
31631	7227	FBgn0029914	CG4558	-
31632	7227	FBgn0029915	CG14434	-
31638	7227	FBgn0052732	CG32732	-
31639	7227	FBgn0029922	CG14431	-
31641	7227	FBgn0029924	CG4586	-
31642	7227	FBgn0029925	CG3040	-
31644	7227	FBgn0261284	bou	boudin
31645	7227	FBgn0027107	Inx6	Innexin 6
31646	7227	FBgn0027108	Inx2	Innexin 2
31647	7227	FBgn0000330	cm	carmine
31648	7227	FBgn0029928	CG3032	-
31649	7227	FBgn0029929	CG4593	-
31650	7227	FBgn0029930	CG12541	-
31651	7227	FBgn0029931	CG14427	-
31652	7227	FBgn0004143	nullo	-
31653	7227	FBgn0029932	CG4607	-
31656	7227	FBgn0029935	CG4615	-
31657	7227	FBgn0029936	CG4617	-
31658	7227	FBgn0029937	CG8300	-
31659	7227	FBgn0027342	fz4	frizzled 4
31660	7227	FBgn0029939	CG9650	-
31661	7227	FBgn0029940	CG1958	-
31662	7227	FBgn0029941	CG1677	-
31663	7227	FBgn0029942	CG2059	-
31664	7227	FBgn0025549	unc-119	-
31665	7227	FBgn0024250	brk	brinker
31666	7227	FBgn0029943	Atg5	Autophagy-related 5
31667	7227	FBgn0029944	Dok	Downstream of kinase
31668	7227	FBgn0029945	CG18155	-
31669	7227	FBgn0026144	CBP	sarcoplasmic calcium-binding protein
31670	7227	FBgn0029946	CG15034	-
