,Enzyme Common Name,,EnzymeId,BioCyn ID
70,long-chain-fatty-acid-CoA ligase activity,primary,987,FBGN0039156-MONOMER
71,ORF,primary,,FBGN0024361-MONOMER
72,zinc ion binding//nucleic acid binding,primary,,FBGN0053213-MONOMER
73,protein tyrosine kinase activity//ATP binding//protein binding,primary,,FBGN0003501-MONOMER
74,ORF,primary,,FBGN0052365-MONOMER
75,ORF,primary,,FBGN0015585-MONOMER
76,pepsin A activity,primary,1309,FBGN0032049-MONOMER
77,ORF,primary,,FBGN0037110-MONOMER
78,ORF,primary,,FBGN0051246-MONOMER
79,calmodulin binding,primary,,FBGN0015804-MONOMER
80,ORF,primary,,FBGN0052651-MONOMER
81,nucleoside diphosphate kinase activity,primary,62,FBGN0028997-MONOMER
82,ORF,primary,,FBGN0033364-MONOMER
83,DNA binding,primary,,FBGN0024968-MONOMER
84,guanylate kinase activity,primary,279,FBGN0034590-MONOMER
85,voltage-gated sodium channel activity,primary,,FBGN0003036-MONOMER
86,NADH dehydrogenase activity,primary,1214,FBGN0031505-MONOMER
87,receptor binding,primary,,FBGN0030163-MONOMER
88,glycine transmembrane transporter activity,primary,,FBGN0031934-MONOMER
89,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity,primary,462,FBGN0033431-MONOMER
90,ORF,primary,,FBGN0036872-MONOMER
91,L-malate dehydrogenase activity,primary,1288,FBGN0036328-MONOMER
92,structural constituent of ribosome,primary,,FBGN0032050-MONOMER
93,DNA binding//zinc ion binding//nucleic acid binding,primary,,FBGN0037751-MONOMER
94,[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity,primary,1545,FBGN0029706-MONOMER
95,ion channel activity,primary,,FBGN0002917-MONOMER
96,ORF,primary,,FBGN0031134-MONOMER
97,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",primary,335,FBGN0023511-MONOMER
98,ceramidase activity,primary,178,FBGN0039774-MONOMER
99,binding,primary,,FBGN0032664-MONOMER
100,ORF,primary,,FBGN0004034-MONOMER
101,membrane dipeptidase activity,primary,367,FBGN0259819-MONOMER
102,ORF,primary,,FBGN0035816-MONOMER
103,ORF,primary,,FBGN0029700-MONOMER
104,"nucleotide binding//translation repressor activity, nucleic acid binding//mRNA binding//translation regulator activity",primary,,FBGN0011666-MONOMER
105,taste receptor activity,primary,,FBGN0045478-MONOMER
106,ORF,primary,,FBGN0030241-MONOMER
107,protein binding//zinc ion binding//nucleic acid binding,primary,,FBGN0036621-MONOMER
108,nicotinic acetylcholine-activated cation-selective channel activity,primary,,FBGN0022999-MONOMER
109,ORF,primary,,FBGN0036305-MONOMER
110,ORF,primary,,FBGN0051706-MONOMER
111,ubiquinol-cytochrome-c reductase activity,primary,1537,FBGN0039576-MONOMER
112,uridine kinase activity,primary,1270,FBGN0022709-MONOMER
113,ORF,primary,,FBGN0085209-MONOMER
114,serine-type endopeptidase inhibitor activity,primary,,FBGN0033778-MONOMER
115,ORF,primary,,FBGN0033713-MONOMER
116,"endoribonuclease activity, producing 5'-phosphomonoesters",primary,,FBGN0028426-MONOMER
117,transcription corepressor activity,primary,,FBGN0030788-MONOMER
118,calcium ion binding,primary,,FBGN0035539-MONOMER
119,transcription repressor activity//mRNA binding//zinc ion binding//nucleic acid binding,primary,,FBGN0003575-MONOMER
120,ORF,primary,,FBGN0034122-MONOMER
121,protein binding,primary,,FBGN0036044-MONOMER
122,protein transmembrane transporter activity,primary,,FBGN0024889-MONOMER
123,ORF,primary,,FBGN0031950-MONOMER
124,actin binding,primary,,FBGN0052030-MONOMER
125,ORF,primary,,FBGN0027586-MONOMER
126,RNA polymerase II transcription factor activity//zinc ion binding//nucleic acid binding,primary,,FBGN0004892-MONOMER
127,protein binding//cAMP-dependent protein kinase regulator activity,primary,,FBGN0022382-MONOMER
128,ORF,primary,,FBGN0085466-MONOMER
129,microtubule binding,primary,,FBGN0028902-MONOMER
130,ORF,primary,,FBGN0046834-MONOMER
131,ORF,primary,,FBGN0036118-MONOMER
132,ORF,primary,,FBGN0035384-MONOMER
133,ORF,primary,,FBGN0034011-MONOMER
134,zinc ion binding,primary,,FBGN0052830-MONOMER
135,tricarboxylate secondary active transmembrane transporter activity//binding//transmembrane transporter activity,primary,,FBGN0040383-MONOMER
136,acid phosphatase activity,primary,,FBGN0038157-MONOMER
137,structural constituent of ribosome,primary,,FBGN0017546-MONOMER
138,ORF,primary,,FBGN0030410-MONOMER
139,water channel activity,primary,,FBGN0034883-MONOMER
140,monosaccharide transmembrane transporter activity,primary,,FBGN0053281-MONOMER
141,ORF,primary,,FBGN0085680-MONOMER
142,ORF,primary,,FBGN0029858-MONOMER
143,ORF,primary,,FBGN0038321-MONOMER
144,unfolded protein binding,primary,,FBGN0039869-MONOMER
145,ORF,primary,,FBGN0037908-MONOMER
146,DNA binding,primary,,FBGN0031947-MONOMER
147,hormone activity//sugar binding//binding//galactose binding,primary,,FBGN0015583-MONOMER
148,inositol or phosphatidylinositol phosphatase activity,primary,414,FBGN0036273-MONOMER
149,ORF,primary,,FBGN0030451-MONOMER
150,ORF,primary,,FBGN0052100-MONOMER
151,chromatin binding,primary,,FBGN0015022-MONOMER
152,GTPase activity,primary,1171,FBGN0001122-MONOMER
153,ORF,primary,,FBGN0031265-MONOMER
154,guanylate kinase activity,primary,279,FBGN0050021-MONOMER
155,N-acetylglucosamine-6-sulfatase activity,primary,1279,FBGN0040271-MONOMER
156,ORF,primary,,FBGN0250838-MONOMER
157,structural constituent of ribosome,primary,,FBGN0032053-MONOMER
158,endopeptidase activity//threonine endopeptidase activity,primary,,FBGN0017557-MONOMER
159,binding,primary,,FBGN0051989-MONOMER
160,calcium ion binding,primary,,FBGN0031850-MONOMER
161,ORF,primary,,FBGN0040354-MONOMER
162,structural constituent of ribosome,primary,,FBGN0033208-MONOMER
163,"electron carrier activity//electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity//iron ion binding//heme binding",primary,,FBGN0000409-MONOMER
164,cathepsin B activity,primary,895,FBGN0030521-MONOMER
165,metalloendopeptidase activity,primary,,FBGN0062267-MONOMER
166,mRNA binding,primary,,FBGN0030235-MONOMER
167,protein binding,primary,,FBGN0015773-MONOMER
168,ORF,primary,,FBGN0039059-MONOMER
169,ORF,primary,,FBGN0040928-MONOMER
170,ubiquitin-protein ligase activity,primary,1480,FBGN0036558-MONOMER
171,actin binding,primary,,FBGN0053556-MONOMER
172,ORF,primary,,FBGN0037764-MONOMER
173,ferrous iron binding//oxidoreductase activity//ferric iron binding,primary,,FBGN0015222-MONOMER
174,serine-type peptidase activity,primary,,FBGN0051780-MONOMER
175,ORF,primary,,FBGN0040296-MONOMER
176,electron carrier activity//very-long-chain-acyl-CoA dehydrogenase activity//FAD binding,primary,,FBGN0034432-MONOMER
177,amino acid transmembrane transporter activity,primary,,FBGN0039487-MONOMER
178,Rab GTPase activator activity//Rho guanyl-nucleotide exchange factor activity,primary,,FBGN0052580-MONOMER
179,gap junction channel activity,primary,,FBGN0028373-MONOMER
180,nucleoside-triphosphatase activity,primary,669,FBGN0020633-MONOMER
181,microtubule binding//protein binding,primary,,FBGN0033156-MONOMER
182,ORF,primary,,FBGN0085654-MONOMER
183,sulfotransferase activity,primary,,FBGN0034887-MONOMER
184,ORF,primary,,FBGN0036155-MONOMER
185,ORF,primary,,FBGN0085308-MONOMER
186,ORF,primary,,FBGN0054000-MONOMER
187,deoxyhypusine monooxygenase activity,primary,1435,FBGN0011013-MONOMER
188,serine-type endopeptidase inhibitor activity,primary,,FBGN0051704-MONOMER
189,protein binding,primary,,FBGN0051304-MONOMER
190,structural constituent of ribosome,primary,,FBGN0011272-MONOMER
191,ORF,primary,,FBGN0259703-MONOMER
192,ORF,primary,,FBGN0036860-MONOMER
193,cytoskeletal protein binding//structural constituent of muscle//zinc ion binding//calcium ion binding,primary,,FBGN0033739-MONOMER
194,ORF,primary,,FBGN0085238-MONOMER
195,transcription factor activity//zinc ion binding,primary,,FBGN0036672-MONOMER
196,"peptidase activity//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,,FBGN0033720-MONOMER
197,ORF,primary,,FBGN0034050-MONOMER
198,ORF,primary,,FBGN0031746-MONOMER
199,ORF,primary,,FBGN0040905-MONOMER
200,ORF,primary,,FBGN0085318-MONOMER
201,actin binding,primary,,FBGN0000630-MONOMER
202,binding,primary,,FBGN0032744-MONOMER
203,metal ion transmembrane transporter activity,primary,,FBGN0033097-MONOMER
204,ORF,primary,,FBGN0050169-MONOMER
205,ORF,primary,,FBGN0259726-MONOMER
206,ORF,primary,,FBGN0029745-MONOMER
207,ORF,primary,,FBGN0035891-MONOMER
208,ORF,primary,,FBGN0031971-MONOMER
209,zinc ion binding,primary,,FBGN0033569-MONOMER
210,phosphopantetheine binding,primary,,FBGN0036374-MONOMER
211,ORF,primary,,FBGN0086704-MONOMER
212,ORF,primary,,FBGN0032334-MONOMER
213,ORF,primary,,FBGN0053687-MONOMER
214,alcohol dehydrogenase activity,primary,53,FBGN0042137-MONOMER
215,ORF,primary,,FBGN0030098-MONOMER
216,DNA binding,primary,,FBGN0051618-MONOMER
217,signal transducer activity//protein binding,primary,,FBGN0028717-MONOMER
218,transcription factor activity,primary,,FBGN0011276-MONOMER
219,S-adenosylmethionine-dependent methyltransferase activity,primary,,FBGN0035247-MONOMER
220,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water//heme binding//iron ion binding",primary,,FBGN0032603-MONOMER
221,ATPase activity,primary,641,FBGN0032450-MONOMER
222,juvenile-hormone esterase activity,primary,1348,FBGN0010052-MONOMER
223,ORF,primary,,FBGN0034700-MONOMER
224,ORF,primary,,FBGN0013576-MONOMER
225,ORF,primary,,FBGN0083946-MONOMER
226,ORF,primary,,FBGN0085703-MONOMER
227,ORF,primary,,FBGN0085580-MONOMER
228,ORF,primary,,FBGN0029692-MONOMER
229,ORF,primary,,FBGN0053012-MONOMER
230,tryptophan 5-monooxygenase activity,primary,1261,FBGN0001208-MONOMER
231,protein disulfide isomerase activity,primary,1434,FBGN0037498-MONOMER
232,DNA binding,primary,,FBGN0053899-MONOMER
233,poly(rC) binding,primary,,FBGN0014362-MONOMER
234,ORF,primary,,FBGN0035282-MONOMER
235,polynucleotide adenylyltransferase activity,primary,1387,FBGN0037369-MONOMER
236,3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity,primary,,FBGN0036695-MONOMER
237,zinc ion binding,primary,,FBGN0039816-MONOMER
238,ORF,primary,,FBGN0051288-MONOMER
239,chymotrypsin activity,primary,162,FBGN0038003-MONOMER
240,trypsin activity,primary,823,FBGN0034666-MONOMER
241,microtubule binding,primary,,FBGN0051057-MONOMER
242,phosphoribosylaminoimidazole carboxylase activity,primary,1206,FBGN0032437-MONOMER
243,structural constituent of cytoskeleton,primary,,FBGN0031675-MONOMER
244,ORF,primary,,FBGN0034631-MONOMER
245,calcium ion binding,primary,,FBGN0037358-MONOMER
246,ORF,primary,,FBGN0259699-MONOMER
247,rRNA (uridine-2'-O-)-methyltransferase activity,primary,,FBGN0038471-MONOMER
248,ORF,primary,,FBGN0052821-MONOMER
249,protein binding,primary,,FBGN0041604-MONOMER
250,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338,FBGN0013355-MONOMER
251,structural constituent of ribosome,primary,,FBGN0002593-MONOMER
252,ORF,primary,,FBGN0027103-MONOMER
253,ORF,primary,,FBGN0037061-MONOMER
254,serine-type endopeptidase inhibitor activity,primary,,FBGN0028983-MONOMER
255,triacylglycerol lipase activity,primary,309,FBGN0051872-MONOMER
256,ORF,primary,,FBGN0036610-MONOMER
257,ORF,primary,,FBGN0037765-MONOMER
258,somatostatin receptor activity//G-protein coupled receptor activity//allatostatin receptor activity//neuropeptide receptor activity,primary,,FBGN0036789-MONOMER
259,ORF,primary,,FBGN0085188-MONOMER
260,ORF,primary,,FBGN0058203-MONOMER
261,protein binding,primary,,FBGN0026192-MONOMER
262,ORF,primary,,FBGN0053475-MONOMER
263,poly-pyrimidine tract binding//nucleotide binding//mRNA binding,primary,,FBGN0004227-MONOMER
264,ORF,primary,,FBGN0029892-MONOMER
265,structural constituent of chitin-based cuticle,primary,,FBGN0035279-MONOMER
266,ORF,primary,,FBGN0036292-MONOMER
267,nucleic acid binding,primary,,FBGN0033092-MONOMER
268,serine-type endopeptidase inhibitor activity,primary,,FBGN0051515-MONOMER
269,SH2 domain binding,primary,,FBGN0060298-MONOMER
270,"cation binding//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,,FBGN0036659-MONOMER
271,ORF,primary,,FBGN0036771-MONOMER
272,elastase activity,primary,1328,FBGN0039777-MONOMER
273,protein kinase activity//ATP binding,primary,,FBGN0038827-MONOMER
274,ORF,primary,,FBGN0085723-MONOMER
275,receptor binding,primary,,FBGN0050281-MONOMER
276,ORF,primary,,FBGN0033864-MONOMER
277,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0085374-MONOMER
278,ORF,primary,,FBGN0069919-MONOMER
279,Ras GTPase activator activity,primary,,FBGN0004390-MONOMER
280,ORF,primary,,FBGN0259196-MONOMER
281,tRNA-pseudouridine synthase activity,primary,1405,FBGN0004914-MONOMER
282,DNA binding,primary,,FBGN0023172-MONOMER
283,ORF,primary,,FBGN0035475-MONOMER
284,serine-type endopeptidase activity,primary,,FBGN0051217-MONOMER
285,binding,primary,,FBGN0038462-MONOMER
286,hexokinase activity,primary,209,FBGN0022395-MONOMER
287,microtubule binding,primary,,FBGN0034957-MONOMER
288,ATP-dependent helicase activity,primary,641,FBGN0040290-MONOMER
289,ORF,primary,,FBGN0067622-MONOMER
290,protein serine/threonine kinase activity,primary,1451,FBGN0003744-MONOMER
291,transcription factor activity,primary,,FBGN0051367-MONOMER
292,ORF,primary,,FBGN0036286-MONOMER
293,calmodulin binding//sequence-specific DNA binding//DNA binding//RNA polymerase II transcription factor activity//transcription factor activity//protein homodimerization activity,primary,,FBGN0259234-MONOMER
294,ORF,primary,,FBGN0031317-MONOMER
295,ORF,primary,,FBGN0031875-MONOMER
296,ORF,primary,,FBGN0032004-MONOMER
297,pyrimidodiazepine synthase activity,primary,1043,FBGN0086348-MONOMER
298,ORF,primary,,FBGN0050038-MONOMER
299,ORF,primary,,FBGN0052511-MONOMER
300,nucleic acid binding//endonuclease activity,primary,,FBGN0039593-MONOMER
301,ORF,primary,,FBGN0034504-MONOMER
302,endodeoxyribonuclease activity//nucleic acid binding,primary,,FBGN0051682-MONOMER
303,ORF,primary,,FBGN0050464-MONOMER
304,GTPase activity,primary,1171,FBGN0005586-MONOMER
305,ORF,primary,,FBGN0259232-MONOMER
306,"binding//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",primary,,FBGN0038946-MONOMER
307,transcription regulator activity,primary,,FBGN0035295-MONOMER
308,electron carrier activity//heme binding//fatty acid (omega-1)-hydroxylase activity//iron ion binding,primary,,FBGN0013772-MONOMER
309,ORF,primary,,FBGN0051846-MONOMER
310,sodium:potassium-exchanging ATPase activity,primary,628,FBGN0032946-MONOMER
311,ORF,primary,,FBGN0050416-MONOMER
312,ORF,primary,,FBGN0083960-MONOMER
313,zinc ion binding//nucleic acid binding,primary,,FBGN0030659-MONOMER
314,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",primary,335,FBGN0032480-MONOMER
315,ORF,primary,,FBGN0035429-MONOMER
316,[acyl-carrier-protein] S-malonyltransferase activity,primary,1436,FBGN0036691-MONOMER
317,transcription repressor activity//DNA binding,primary,,FBGN0032741-MONOMER
318,ORF,primary,,FBGN0034506-MONOMER
319,ORF,primary,,FBGN0052733-MONOMER
320,lipoprotein binding,primary,,FBGN0001253-MONOMER
321,ORF,primary,,FBGN0085640-MONOMER
322,protein binding,primary,,FBGN0039503-MONOMER
323,ORF,primary,,FBGN0051551-MONOMER
324,protein binding,primary,,FBGN0030869-MONOMER
325,ORF,primary,,FBGN0033819-MONOMER
326,alpha-methylacyl-CoA racemase activity,primary,,FBGN0032881-MONOMER
327,ORF,primary,,FBGN0051816-MONOMER
328,"inositol-1,4-bisphosphate 1-phosphatase activity",primary,988,FBGN0016672-MONOMER
329,odorant binding,primary,,FBGN0046879-MONOMER
330,ORF,primary,,FBGN0011668-MONOMER
331,glutathione transferase activity,primary,650,FBGN0063491-MONOMER
332,[methionine synthase]-cob(I)alamin,primary,,METHIONINE-SYNTHASE-COBALAMIN
333,ATP-dependent RNA helicase activity,primary,641,FBGN0010220-MONOMER
334,DNA binding,primary,,FBGN0053879-MONOMER
335,ORF,primary,,FBGN0051281-MONOMER
336,nucleotide binding//mRNA binding//RNA binding//zinc ion binding//nucleic acid binding,primary,,FBGN0011640-MONOMER
337,dihydropyrimidinase activity,primary,1363,FBGN0023023-MONOMER
338,structural constituent of pupal chitin-based cuticle//structural constituent of chitin-based cuticle,primary,,FBGN0003046-MONOMER
339,ORF,primary,,FBGN0039642-MONOMER
340,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0041337-MONOMER
341,ORF,primary,,FBGN0039638-MONOMER
342,ORF,primary,,FBGN0035932-MONOMER
343,ORF,primary,,FBGN0003086-MONOMER
344,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0035510-MONOMER
345,zinc ion binding,primary,,FBGN0039740-MONOMER
346,ORF,primary,,FBGN0035033-MONOMER
347,ORF,primary,,FBGN0051125-MONOMER
348,ORF,primary,,FBGN0035921-MONOMER
349,zinc ion binding//nucleic acid binding,primary,,FBGN0052772-MONOMER
350,secondary active organic cation transmembrane transporter activity,primary,,FBGN0035645-MONOMER
351,ORF,primary,,FBGN0040364-MONOMER
352,phosphoribosylformylglycinamidine synthase activity,primary,108,FBGN0000052-MONOMER
353,metallopeptidase activity//dipeptidyl-peptidase and tripeptidyl-peptidase activity,primary,,FBGN0000453-MONOMER
354,ORF,primary,,FBGN0030191-MONOMER
355,pyroglutamyl-peptidase II activity,primary,1041,FBGN0030223-MONOMER
356,ORF,primary,,FBGN0085612-MONOMER
357,taste receptor activity,primary,,FBGN0041249-MONOMER
358,aspartate-ammonia ligase activity,primary,1260,FBGN0024505-MONOMER
359,endopeptidase activity//threonine endopeptidase activity,primary,,FBGN0029134-MONOMER
360,ORF,primary,,FBGN0085605-MONOMER
361,ORF,primary,,FBGN0038011-MONOMER
362,ORF,primary,,FBGN0085353-MONOMER
363,calcium ion binding,primary,,FBGN0037798-MONOMER
364,ORF,primary,,FBGN0030160-MONOMER
365,ORF,primary,,FBGN0034152-MONOMER
366,ORF,primary,,FBGN0033153-MONOMER
367,ORF,primary,,FBGN0029930-MONOMER
368,epoxide hydrolase activity,primary,1163,FBGN0034405-MONOMER
369,N-acetyltransferase activity,primary,,FBGN0032668-MONOMER
370,ORF,primary,,FBGN0035399-MONOMER
371,structural constituent of ribosome,primary,,FBGN0017579-MONOMER
372,HNK-1 sulfotransferase activity,primary,,FBGN0031697-MONOMER
373,neuronal pentraxin receptor activity,primary,,FBGN0024897-MONOMER
374,ORF,primary,,FBGN0039070-MONOMER
375,DNA binding,primary,,FBGN0069093-MONOMER
376,kinesin-associated mitochondrial adaptor activity//protein binding,primary,,FBGN0022201-MONOMER
377,nucleic acid binding,primary,,FBGN0039735-MONOMER
378,tyrosine-tRNA ligase activity,primary,1432,FBGN0027080-MONOMER
379,arylformamidase activity,primary,995,FBGN0001305-MONOMER
380,ORF,primary,,FBGN0039804-MONOMER
381,ORF,primary,,FBGN0037648-MONOMER
382,ORF,primary,,FBGN0052320-MONOMER
383,"sequence-specific DNA binding//transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity//DNA binding//specific transcriptional repressor activity//protein binding//RNA polymerase II transcription factor activity//transcription factor activity",primary,,FBGN0011648-MONOMER
384,DNA binding//peptidase activity,primary,,FBGN0050043-MONOMER
385,ORF,primary,,FBGN0035858-MONOMER
386,mRNA binding,primary,,FBGN0024183-MONOMER
387,serine-type endopeptidase activity,primary,,FBGN0051205-MONOMER
388,flavin-linked sulfhydryl oxidase activity,primary,670,FBGN0038919-MONOMER
389,phosphogluconate dehydrogenase (decarboxylating) activity,primary,1070,FBGN0043456-MONOMER
390,heme oxygenase (decyclizing) activity,primary,971,FBGN0037933-MONOMER
391,"transferase activity, transferring groups other than amino-acyl groups",primary,,FBGN0030148-MONOMER
392,Rab GTPase activator activity,primary,,FBGN0031690-MONOMER
393,tetracycline:hydrogen antiporter activity,primary,,FBGN0037003-MONOMER
394,sodium:potassium-exchanging ATPase activity,primary,628,FBGN0015776-MONOMER
395,ORF,primary,,FBGN0038647-MONOMER
396,ORF,primary,,FBGN0031379-MONOMER
397,NAD+ kinase activity,primary,1181,FBGN0033373-MONOMER
398,ORF,primary,,FBGN0036052-MONOMER
399,serine-type endopeptidase inhibitor activity,primary,,FBGN0063923-MONOMER
400,acyltransferase activity,primary,,FBGN0053337-MONOMER
401,ORF,primary,,FBGN0040913-MONOMER
402,ORF,primary,,FBGN0085233-MONOMER
403,ORF,primary,,FBGN0030492-MONOMER
404,ORF,primary,,FBGN0052263-MONOMER
405,ORF,primary,,FBGN0034803-MONOMER
406,protein kinase activity,primary,1451,FBGN0024179-MONOMER
407,sodium channel activity,primary,,FBGN0051065-MONOMER
408,GTPase activity,primary,1171,FBGN0083940-MONOMER
409,GTPase activity,primary,1171,FBGN0001105-MONOMER
410,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0001215-MONOMER
411,ORF,primary,,FBGN0033781-MONOMER
412,signal peptide peptidase activity,primary,,FBGN0031260-MONOMER
413,ORF,primary,,FBGN0054006-MONOMER
414,oxidoreductase activity//iron ion binding,primary,,FBGN0034103-MONOMER
415,diacylglycerol-activated phospholipid-dependent protein kinase C inhibitor activity//protein domain specific binding,primary,,FBGN0020238-MONOMER
416,single-stranded DNA binding,primary,,FBGN0016667-MONOMER
417,ubiquitin thiolesterase activity,primary,1532,FBGN0039025-MONOMER
418,protein binding,primary,,FBGN0033408-MONOMER
419,ORF,primary,,FBGN0069938-MONOMER
420,protein serine/threonine kinase activity,primary,1451,FBGN0033773-MONOMER
421,protein binding,primary,,FBGN0024832-MONOMER
422,translation initiation factor activity,primary,,FBGN0037994-MONOMER
423,endopeptidase inhibitor activity//protein binding//eukaryotic cell surface binding,primary,,FBGN0020240-MONOMER
424,protein serine/threonine kinase activity,primary,1451,FBGN0086736-MONOMER
425,ORF,primary,,FBGN0033767-MONOMER
426,ORF,primary,,FBGN0052043-MONOMER
427,ionotropic glutamate receptor activity,primary,,FBGN0040849-MONOMER
428,anion exchanger activity,primary,,FBGN0259111-MONOMER
429,ORF,primary,,FBGN0034614-MONOMER
430,cytochrome-c oxidase activity,primary,1456,FBGN0050093-MONOMER
431,dihydrolipoyl dehydrogenase activity,primary,1102,FBGN0036762-MONOMER
432,ORF,primary,,FBGN0031945-MONOMER
433,ORF,primary,,FBGN0029588-MONOMER
434,structural molecule activity,primary,,FBGN0010296-MONOMER
435,inorganic diphosphatase activity,primary,473,FBGN0034742-MONOMER
436,GTPase activity,primary,1171,FBGN0015286-MONOMER
437,protein serine/threonine kinase activity,primary,1451,FBGN0010909-MONOMER
438,NADH dehydrogenase activity,primary,1214,FBGN0030605-MONOMER
439,GTPase activity,primary,1171,FBGN0041191-MONOMER
440,DNA binding,primary,,FBGN0022945-MONOMER
441,ORF,primary,,FBGN0031094-MONOMER
